Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%),Raw Asset Class,Simplified Asset Class
FTLS,First Trust Long/Short Equity ETF,Alternatives,"$1,823,520,000",-8.53%,"185,156",$60.06,-0.89%,No,False,-6.17%,-7.36%,-0.53%,6.90%,10.81%,"$247,260,850.00","$316,050.00","$35,544,150.00","$741,384,900.00","$1,232,957,273.00","$1,383,179,913.00",Long-Short,2014-09-09,1.46%,,$1.01,2025-03-27,$0.15,1.67%,0.04,0.51,249.0,62.92%,40%,20%,1099,$61.16,$65.81,,,25.48,A,B-,A-,B+,B-,,6.45,62.03%,49.83%,44.97,7.43%,5.65%,Alternatives,Other
DBMF,iMGP DBi Managed Futures Strategy ETF,Alternatives,"$1,108,560,000",-5.27%,"920,716",$24.61,-0.16%,No,False,-2.77%,-2.32%,-10.63%,-0.67%,4.93%,"-$71,639,250.00","-$68,597,500.00","$8,245,500.00","$349,797,250.00","$1,325,525,250.00","$1,404,199,275.00",Hedge Fund,2019-05-08,0.85%,,$1.52,2025-03-27,$0.18,6.20%,0.04,-0.14,3.0,99.99%,40%,20%,1099,$24.66,$25.65,$24.49,$24.77,30.69,A-,B-,,B+,B,,0.0,,,,,,Alternatives,Other
CTA,Simplify Managed Futures Strategy ETF,Alternatives,"$1,041,110,000",1.08%,"700,676",$28.08,-0.11%,No,False,-5.68%,-3.02%,14.41%,11.71%,,"$608,263,825.00","$124,015,050.00","$284,220,900.00","$851,212,850.00","$1,042,774,775.00","$1,046,432,100.00",Long-Short,2022-03-07,0.76%,,$1.45,2025-03-26,$0.12,5.14%,0.0,2.34,6.0,100.01%,40%,20%,1099,$28.38,$30.17,$27.95,$28.17,39.02,,A-,,,,,0.0,,,,,,Alternatives,Other
QAI,NYLI Hedge Multi-Strategy Tracker ETF,Alternatives,"$657,780,000",-5.25%,"98,158",$29.76,-0.57%,No,False,-5.25%,-5.54%,-1.33%,1.71%,2.97%,"$28,407,717.50",$0.00,"$3,127,330.00","$103,756,547.50","-$101,857,201.50","-$118,123,454.50",Long-Short,2009-03-25,0.91%,Charles Schwab,$0.70,2024-12-30,$0.70,2.34%,0.05,0.3,32.0,67.04%,40%,20%,1099,$30.16,$32.33,,,25.08,A,B+,B+,A,A,C+,6.49,43.93%,51.31%,147.11,3.51%,2.61%,Alternatives,Other
RLY,SPDR SSgA Multi-Asset Real Return ETF,Alternatives,"$445,011,000",-4.44%,"102,024",$25.82,-1.90%,No,False,-9.84%,-7.42%,-6.34%,-2.01%,11.37%,"-$29,929,153.32","-$3,177,653.43","-$13,268,198.85","-$63,157,953.82","$198,002,028.92","$419,088,771.95",Hedge Fund,2012-04-25,0.50%,Charles Schwab,$0.86,2024-12-26,$0.44,3.29%,0.04,0.7,12.0,99.58%,40%,20%,1099,$26.53,$29.58,$25.40,$26.46,26.16,A,A,B+,B+,A-,B+,6.71,75.75%,60.73%,535.25,9.21%,2.12%,Alternatives,Other
BTAL,AGF U.S. Market Neutral Anti-Beta Fund,Alternatives,"$436,622,000",13.96%,"787,363",$21.06,1.30%,No,False,1.45%,2.98%,19.51%,7.23%,-1.87%,"$52,312,650.00","$19,076,710.00","$88,891,225.00","$193,943,480.00","$338,659,250.00","$386,655,800.00",Long-Short,2011-09-13,1.43%,,$0.64,2024-12-30,$0.64,3.03%,0.04,-0.51,202.0,101.89%,40%,20%,1099,$19.39,$21.45,$20.60,$21.36,59.62,A+,C,B,C+,B+,C+,0.0,,,,,,Alternatives,Other
FLSP,Franklin Systematic Style Premia ETF,Alternatives,"$310,930,000",0.50%,"28,623",$24.03,4.48%,No,False,-2.48%,-0.05%,1.96%,6.09%,3.44%,"$6,088,500.00","$4,881,500.00","$4,881,500.00","$125,858,500.00","$240,404,500.00","$248,803,500.00",Long-Short,2019-12-18,0.65%,,$0.28,2024-12-20,$0.28,1.18%,0.08,0.02,321.0,44.11%,40%,20%,1099,$23.73,$24.68,,,49.14,B,A-,,A-,C+,,0.0,,,,,,Alternatives,Other
MNA,NYLI Merger Arbitrage ETF,Alternatives,"$220,865,000",2.67%,"32,223",$33.84,0.56%,No,False,-1.47%,-0.47%,8.27%,2.16%,2.85%,"-$3,153,546.50","$1,721,830.00","$6,843,966.50","-$85,079,980.00","-$383,684,977.50","-$553,345,552.50",Hedge Fund,2009-11-17,0.77%,Charles Schwab,$0.00,2023-12-28,$0.38,0.00%,0.03,0.13,48.0,39.19%,40%,20%,1099,$33.80,$34.53,$33.66,$34.10,47.31,A-,B-,B+,A,A-,A-,6.62,48.72%,56.90%,279.56,8.25%,4.53%,Alternatives,Other
KMLM,KFA Mount Lucas Managed Futures Index Strategy ETF,Alternatives,"$210,352,000",-4.95%,"176,932",$26.71,-0.30%,No,False,-1.69%,-2.38%,-11.33%,-2.06%,,"-$109,586,322.32","-$6,774,876.42","-$108,188,809.24","-$24,648,489.29","$254,821,230.31","$292,871,854.34",Long-Short,2020-12-02,0.90%,,$0.23,2024-12-17,$0.23,0.86%,0.0,-0.35,7.0,99.99%,40%,20%,1099,$26.82,$27.67,$26.64,$26.83,37.33,C,B+,,B-,C+,,0.0,,,,,,Alternatives,Other
RSST,Return Stacked U.S. Stocks & Managed Futures ETF,,"$208,057,000",-24.18%,"92,969",$18.12,-1.47%,No,False,-18.01%,-20.91%,-23.32%,,,"$13,871,597.50","-$1,374,825.00","-$4,013,595.00","$153,963,697.50","$256,433,820.00","$256,433,820.00",,2023-09-06,0.98%,,$0.02,2024-12-18,$0.02,0.13%,,,4.0,100.00%,40%,20%,1099,$19.01,$24.39,,,23.74,A,C,,C,B,,6.35,63.04%,45.57%,92.86,8.90%,5.12%,,Other
IMF,Invesco Managed Futures Strategy ETF,,"$194,848,000",,,,0.00%,No,False,,,,,,"$207,741,421.42","$8,790,684.33","$207,741,421.42","$207,741,421.42","$207,741,421.42","$207,741,421.42",,2025-03-19,0.65%,,,,,,,,3.0,96.76%,40%,20%,1099,,,,,,,,,,,,0.0,,,,,,,Other
RFIX,Simplify Bond Bull ETF,,"$160,392,000",0.73%,"88,005",$53.01,-1.83%,No,False,-2.43%,-0.03%,,,,"$114,232,850.00","-$11,356,725.00","$10,793,050.00","$146,733,600.00","$146,733,600.00","$146,733,600.00",,2024-12-09,0.50%,,$0.25,2025-03-26,$0.15,0.44%,,,5.0,100.01%,40%,20%,1099,$49.95,$56.21,$51.92,$54.19,49.26,,,,,,,0.0,,,,,,,Bond
FIAX,Nicholas Fixed Income Alternative ETF,,"$157,865,000",-2.12%,"17,534",$18.26,-0.33%,No,False,-1.19%,-1.92%,2.59%,,,"$3,313,360.00",$0.00,"$927,895.00","$107,227,632.50","$169,864,072.50","$169,864,072.50",,2022-11-29,0.95%,,$1.57,2025-03-20,$0.12,8.61%,0.05,-0.13,6.0,100.00%,40%,20%,1099,$18.21,$18.71,$18.18,$18.34,33.58,B+,C,C+,A,A,,5.85,19.19%,33.01%,1.57,0.00%,0.00%,,Bond
CLSE,Convergence Long/Short Equity ETF,Alternatives,"$154,942,000",-10.78%,"136,515",$20.44,0.54%,No,False,-6.07%,-4.44%,-0.67%,10.27%,,"-$53,962,522.00","-$4,566,222.00","-$14,161,132.00","$87,705,345.00","$128,205,978.00","$127,566,397.00",Long-Short,2009-12-29,1.55%,,$0.21,2024-12-16,$0.21,1.04%,0.0,0.55,166.0,59.32%,40%,20%,1099,$20.39,$22.40,$20.10,$20.87,35.38,,C+,,,,,0.0,,,,,,Alternatives,Other
WTMF,WisdomTree Managed Futures Strategy Fund,Alternatives,"$151,791,000",-5.01%,"31,815",$33.18,0.82%,No,False,-3.32%,-2.93%,-8.18%,1.92%,3.80%,"-$19,241,000.00",$0.00,"-$1,673,500.00","-$20,119,740.00","$18,545,515.00","$53,433,600.00",Hedge Fund,2011-01-05,0.65%,,$1.25,2024-12-26,$0.43,3.76%,0.0,0.09,1.0,140.59%,40%,20%,1099,$33.28,$34.90,$32.83,$33.55,34.56,B+,B+,C+,A-,A+,,5.86,50.00%,33.72%,0.0,0.00%,0.00%,Alternatives,Other
FMF,First Trust Managed Futures Strategy Fund,Alternatives,"$151,624,000",-4.25%,"25,329",$45.32,0.80%,No,False,-1.97%,-1.90%,-5.72%,0.10%,2.96%,"$7,050,750.00",$0.00,"$2,300,800.00","$18,764,500.00","$84,002,357.00","$145,802,726.00",Hedge Fund,2013-08-01,0.95%,,$2.20,2025-03-27,$0.24,4.87%,0.0,-0.02,1.0,77.38%,40%,20%,1099,$45.33,$46.62,,,38.23,B,C+,C+,B-,C+,,5.8,13.04%,32.13%,1.57,0.00%,0.00%,Alternatives,Other
PFIX,Simplify Interest Rate Hedge ETF,Alternatives,"$133,356,000",0.73%,"144,332",$52.36,5.99%,No,False,9.98%,8.21%,10.96%,1.51%,,"-$42,649,925.00","-$11,322,675.00","-$22,651,425.00","-$14,240,900.00","-$133,337,125.00","$45,377,950.00",Hedge Fund,2021-05-10,0.50%,,$1.86,2025-03-26,$0.15,3.69%,0.0,-1.09,7.0,100.00%,40%,20%,1099,$45.89,$51.48,$50.25,$53.73,56.86,A,A-,,C,C,,5.86,75.38%,33.72%,0.0,0.00%,0.00%,Alternatives,Other
QIS,Simplify Multi-QIS Alternative ETF,,"$87,776,300",-19.69%,"8,860",$19.43,-5.45%,No,False,-17.46%,-16.72%,-21.07%,,,"-$5,434,100.00",$0.00,"-$2,333,700.00","-$1,758,575.00","$109,158,400.00","$109,158,400.00",,2023-07-10,1.00%,,$0.56,2025-03-26,$0.30,2.85%,,,8.0,100.00%,40%,20%,1099,$20.85,$25.51,$19.15,$19.85,33.07,B,C,C,B+,A-,,0.0,,,,,,,Other
RSBT,Return Stacked Bonds & Managed Futures ETF,,"$81,611,400",-6.74%,"40,416",$15.62,-0.70%,No,False,-7.12%,-7.32%,-14.19%,,,"$922,205.00","-$1,631,232.50","$462,690.00","$37,620,910.00","$94,820,235.00","$94,820,235.00",,2023-02-08,1.06%,,$0.00,2023-12-27,$0.41,0.00%,,,3.0,100.00%,40%,20%,1099,$15.95,$17.37,$15.55,$15.70,27.26,A-,C,C,B-,B+,,0.0,,,,,,,Bond
ARB,AltShares Merger Arbitrage ETF,Alternatives,"$81,244,200",1.49%,"10,256",$27.94,0.14%,No,False,-0.85%,-0.99%,4.31%,3.44%,,"$310,158.60","-$1,735.03","$1,401,861.28","$4,381,892.79","-$560,873.24","$74,858,347.29",Hedge Fund,2020-05-07,0.84%,,$0.31,2024-12-18,$0.31,1.11%,0.05,0.07,41.0,74.95%,40%,20%,1099,$27.93,$28.32,$27.80,$28.04,42.77,C+,B+,,A+,A-,,6.24,23.08%,41.96%,186.21,7.01%,3.76%,Alternatives,Other
HTUS,Capitol Series Trust Hull Tactical US ETF,Alternatives,"$65,805,900",-21.01%,"29,245",$30.07,-3.06%,No,False,-17.62%,-18.90%,-10.73%,6.82%,15.97%,"$15,126,699.61","$1,975,521.71","-$1,718,253.73","$37,692,916.77","$49,695,585.22","$43,022,517.55",Long-Short,2015-06-24,0.96%,,$6.78,2024-12-27,$6.78,22.54%,0.03,0.87,15.0,100.74%,40%,20%,1099,$31.75,$39.39,$29.03,$32.12,21.48,B,B,B+,B,B,,0.0,,,,,,Alternatives,Other
UPAR,UPAR Ultra Risk Parity ETF,Alternatives,"$57,958,400",-3.99%,"13,100",$12.34,-2.22%,No,False,-11.16%,-9.65%,-6.08%,-8.71%,,"-$5,819,495.00","-$1,273,810.00","-$1,273,810.00","-$24,681,367.50","$42,326,477.50","$71,541,660.00",Hedge Fund,2022-01-03,0.65%,,$0.47,2025-03-27,$0.09,3.70%,0.09,1.11,91.0,61.59%,40%,20%,1099,$12.85,$14.33,$12.16,$12.68,27.11,B,B+,,B,,,6.01,9.33%,36.45%,283.37,2.73%,1.72%,Alternatives,Other
VAMO,Cambria Value & Momentum ETF,Alternatives,"$52,184,800",-1.53%,"3,427",$29.00,0.03%,No,False,-0.67%,1.59%,-0.23%,5.90%,13.58%,"$1,567,095.00","-$1,448,680.00","-$1,448,680.00","-$11,122,145.00","$23,001,720.00","$33,570,220.00",Small Cap Blend Equities,2015-09-08,0.65%,Interactive Brokers,$0.51,2025-03-20,$0.32,1.77%,5.24,0.34,103.0,32.35%,40%,20%,1099,$28.51,$29.57,,,46.72,B-,C+,C,A,B-,,5.67,26.35%,30.02%,205.37,3.53%,11.09%,Alternatives,Other
